,smiles
0,B=NCI
1,Brc1cc2c(s1)-c1sc(-c3nc4sc(-c5cc6c(s5)-c5sc(Br)cc5[SiH2]6)nc4s3)cc1[SiH2]2
2,C#CC#CC#CC#CC1(C)c2cc3c(cc2-c2sc(-c4ccc(N(c5ccc(N)cc5)c5ccc(C(C)CC)cc5)cc4)cc21)C(C#CC#CC#CC#C)(C=C=C=C=C=C=C=C)c1cc(N)sc1-3
3,C#Cc1c2cc3c(cc2c(C#C)c2cc4c(cc12)CC(c1c(C)c(C)c(-c2ccc(-c5cccs5)s2)c2c1=N[C@@H](C)N=2)C4)CCC3
4,C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)cc1OC
5,C#Cc1cc2c(s1)-c1sc(C#Cc3scc4nc(-c5ccccc5)c(-c5ccccc5)nc34)cc1C2(C)C
6,C#Cc1ccc(-c2ccc(C3=C4C(=O)N(CC(=O)O)C(c5ccoc5)=C4C(=O)N3CC(=O)NC(Cc3ccccc3)C(=O)CC(CCC(=O)O)C(=O)O)[nH]2)cc1
7,C#Cc1sc(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc23)c(C)c1C
8,C(#Cc1cc2c(C#Cc3ccc(-c4ccccc4)cc3)cc1CCc1cc(C#Cc3ccc(-c4ccccc4)cc3)c(cc1C#Cc1ccc(-c3ccccc3)cc1)CC2)c1ccc(-c2ccccc2)cc1
9,C(=Cc1ccc(-c2ccc(-c3ccc(C=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)c3nsnc23)s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1
10,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1
11,C(=NCC12SC(c3ccccc3)=CC1=C(c1ccccc1)C=C2c1ccccc1)c1ccccc1
12,C(c1ccc2ncoc2c1)=c1ccc(=c2ccc(=Cc3ccc4ncoc4c3)s2)s1
13,C(c1cnc(-c2ccncn2)nn1)=c1ccc(=c2ccc(=Cc3cnc(-c4ccncn4)nn3)s2)s1
14,C/C=C/C=C/c1ccc(C2=C3C(=O)N(S)C(c4ccc(C)s4)=C3C(=O)N2S)s1
15,C/C=C/C=C/c1ccc(C2=C3C(=O)N(c4ccccc4)C(c4ccc(C)o4)=C3C(=O)N2c2ccccc2)o1
16,C/C=C/C=C/c1ccc(C2=C3C(=O)NC(c4ccc(C)o4)=C3C(=O)N2)o1
17,C/C=C/c1ccc(/C=C/c2cc3c(s2)-c2sc(C)cc2C3(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)c2nsnc12
18,C/C=C/c1sc2c(c1N)C(=O)C(=O)c1c-2sc(C)c1N
19,C/N=C1/C(/C(C)=C/C=C(C)C)=CC(C)=C(/C(C)=C/C=C(C)C)/C1=N/C
20,C1=C(c2ccccc2)SC2C=C(c3cc4c(-c5ccccc5)c5sc(-c6cc7sc(-c8c(-c9ccccc9)c(-c9ccccc9)c(-c9ccccc9)c9nonc89)cc7s6)cc5c(-c5ccccc5)c4s3)SC12
21,C1=C(c2sc(-c3ccc(-c4ccccc4)c4nonc34)cc2-c2ccccc2)Cc2c1c(-c1ccccc1)c1sc(-c3sc(-c4ccccc4)cc3-c3ccccc3)cc1c2-c1ccccc1
